polymer nbases
F34Fcsw_166389 3 72
M13Fcsw_64020 3 72
M13Fcsw_65596 3 72
M14Fcsw_10132 3 72
M22Fcsw_283050 3 72
M23Fcsw_102164 3 72
M23Fcsw_238196 3 72
M24Fcsw_271362 3 72
M44Fcsw_251242 3 72
F13Fcsw_135659 3 73
F13Fcsw_219688 3 73
F14Fcsw_273663 3 73
F22Fcsw_120762 3 73
F22Fcsw_381627 3 73
F31Fcsw_219449 3 73
F32Fcsw_320247 3 73
F34Fcsw_52868 3 73
F34Fcsw_103065 3 73
M11Fcsw_15204 3 73
M14Fcsw_269930 3 73
M22Fcsw_185658 3 73
M23Fcsw_48875 3 73
M23Fcsw_191421 3 73
M41Fcsw_233451 3 73
F11Fcsw_121486 3 74
F12Fcsw_78784 3 74
F12Fcsw_112477 3 74
F21Fcsw_497842 3 74
F21Fcsw_503891 3 74
F22Fcsw_472707 3 74
F22Fcsw_507172 3 74
F24Fcsw_273108 3 74
F33Fcsw_17747 3 74
M12Fcsw_104792 3 74
M12Fcsw_508732 3 74
M13Fcsw_138840 3 74
M13Fcsw_149931 3 74
M14Fcsw_231389 3 74
M21Fcsw_316252 3 74
M23Fcsw_11633 3 74
M23Fcsw_262793 3 74
M24Fcsw_146857 3 74
M43Fcsw_231709 3 74
